transcripts,score
"I'm not sure. I thought I had already recorded this. Apparently I didn't. In my current role, I'm a senior staff engineer. My title is principal investigator. We research and develop new technologies based on building prototype systems and experimenting. And learning and verifying the needs of our customers. It didn't work 3/2. One, and let's take it back. We hold with.",3.0
"Good morning. My favorite vacation destination is Hawaii in the Pacific part of the United States. Why? Well, #1, because it's a beautiful place, the physical beauty. Um, it's also a very comfortable environment. In addition to that, there are so many things to do there. Certainly there's something for everyone. Um, if you'd like to hike? If you'd like to simply relax and spend time at a resort, go to find restaurants. Maybe you want to surf? Maybe want to scuba dive or snorkel. Um, hiking? Just so many different things. Um, and so many different places or several items that you can, that you can go to that are surprisingly different from each other. And so if it's weather, beautiful landscape and things to do, Hawaii is a place to go.",
"Good morning. I'm going to describe the workplace in a facility where employed in where I worked for GE Vision Systems located in Grand Rapids, MI up in the Northwoods as we say in the states. Such a beautiful environment. It's a beautiful facility. It's relatively new and. Really, it's a, it's a, it's a comfortable place to work and it's a great environment. We build like Tronic systems here. We have great resources and laboratory facilities to to develop and test and perform experiments for their systems. So I'd say it's really the resources in the facility that is very well. If I had one complaint, I guess maybe it's not exactly a complaint, but parking now due to the. Pandemic hasn't been so much, but now that people are returning to work, parking can sometimes be a problem. So there could be one thing approved. Perfect. Thank you.",2.0
"So the average person takes 7500 steps per day. 7500 steps? That seems like a lie. You could probably work out to the distance that corresponds with. I'm sure it's surprising, and yet maybe it is when you consider all the things you do and the day of your life. In. Taking steps are required in order to really do anything in your life. Um, so? Getting to and from work, performing your tasks and duties at work. Um, work and chores and things you have to do at home. Or simply interacting with.",3.0
"Good morning. Good afternoon. My name is Paul Bishop and I'm going to give a 2 minute talk on how I got into project management. Um, initially I started in software engineering when Coop computers were programmed with paper tape. Um, at the time I thought this was great because these computers lived in great big air conditioned rooms and I thought, fantastic are gonna get into some big engineering. Unfortunately, not too long after that time, computers became much smaller. So, um, I still enjoyed software engineering and my first major project came along and I was able to lead the software engineering team on uh, uh, better software that's developing anti vibration technology for a helicopter, specifically the EH1UH-1 helicopter. Um, it was certified both civilly and in military aerospace. So that was that was good fun and good exposure. Following on from that, I got the opportunity to work as a project engineer now. Project Engineering was helping me understand other engineering disciplines and get more involved in the whole project structure and how everything works, and I really enjoyed that aspect. That clearly led on to more of a career path and I went into general management. However, in general management I missed the cut and thrust of the projects as you. Driving through projects and all the challenges that projects begin and have going forward. So from that point onwards, I knew that I wanted to do was to lead development projects and hence that is how I got into project management. I think that's the end of my 2 minutes talk. Hopefully you found that enjoyable or not by.",6.0
"Hello again. Um. I'm going to be very foolish and try and do a 2 minute teach on three ball juggling. Now this could be a disaster. So OK, we're going to start off on three ball juggling. And the best way, I mean here's three ball juggling while we're trying to get to um, but the best way to get going on this is to start with one ball juggling, which hey, that's easy. So one ball juggling throwing from one hand to the other hand. I lacrosse. That's fairly simple, intern. Then you start getting onto 2 ball juggling, so you're throwing one up and then the other one, so it's still across, and then you want to swap back. So start with the left hand, then the right hand, left hand. Right hand, so you've got a sensually the the overall structure of what you want to try and get to with a 3 ball juggle. Now 3 ball juggling is much harder because you're trying to keep a ball in the air at all times whilst you're 3 ball juggling. But the best way to start is to start with just one sequence, so you just going up or um over and catch and just one sequence. So essentially that if you saw it and I'll do a repeat. So that's three ball juggling in a very simplistic way. Now you want to try and get into continuing that sequence. So it's a continuous sequence of trying to keep the ball in the air. And I say this is very risky because I haven't done this for sometime, so trying to keep it going and I'll try and do a number of sequence here. So just keep that three ball juggling going and hopefully that's a way to get into three ball juggling and it's good fun. It's keeps you mind active, sort of at least your arms and mine. Anyway, thanks very much for listening. Bye.",6.0
"Hello, it's Paul Bishop again. I'm here to tell you about my role. Um, currently I am an engineering project manager on the Boeing 777 XRDC which stands for remote data concentrator. And my role essentially means I am looking after the project schedules and the cost and making sure that we have clear communication through to our customer in terms of what's actually happening on the project on a day-to-day basis as well as trying to control. The project activities to ensure that we're holding onto the overall project schedule and costs as well as maintaining quality of course at all times. And most importantly is that we develop a safe product. The product is specifically, eh, as I say, uh remote data concentrator which deals with the network across the aircraft and it's fairly safety critical. Thank you very much.",5.0
"Hi, it's Paul Bishop again. I've come to talk to you about my favorite holiday destination, which is the South of Portugal. I love the South of Portugal. Certain things that you're guaranteed there. You're guaranteed good, son. It's obviously next to the see the Med C, which is fantastic. Uh, there's fantastic golf courses. I love golf and who doesn't? And the hotels and food are superb. And, um, not that we should say this sort of thing, but the, the, the drink there is relatively cheap. As well. And that's really good. Uh, additionally, my family loved going down to the South of Portugal, so they're happy and I managed to get some golfing. So win, win, and why wouldn't you want to go there? And one last positive thing, it's on the same time zone as the UK Fantastic Jazz.",
"Hi, it's Paul Bishop again. I'm going to describe my workplace well, I'm going to cheat a little bit. I'm gonna scribe my 2 workplaces, my current workplace where I am today, which is working from home, I think. Well, obviously the the main thing that I could do with improving in this is get less disturbance from the Wi-Fi. Sometimes pops in and turns the printer on, which is right next door, which really does cause a bit of a noise problem at times. However, other other than that, everything is great here. II workplaces, my actual office space, which is in chelton. Um. There has been set up fantastically so it's fairly little to complain about. There's there's great hotdesking which are fully adjustable. However, one of the area that it could do with a little bit more of is meeting space. So when we are in the office and wanting to talk to the team members is great to have that accessible space where you can actually talk to people and socially interact, which is the key thing and miss out on when working from home. Thanks very much. Bye.",6.0
"Hi, Paul Bishop again. I'm gonna one thing I was not aware of is that seven and a half thousand steps is the average number of steps a person takes every day. Who knew? Um, I'm well aware that the the apps on watches and things like that recommend that you take 10,000 steps. 10,000 steps is about 5 miles. Game of golf is about 6 miles. I recommend Gulf to everybody and that's the that's the message by.",6.0
"Hi, so my name is Jose. I was born and raised in Puerto Rico where at some little kid I always wanted to work with planes and fly and that always captivated my imagination. Ah, enough that I went to school and they made me believe I could become an engineer of when and got, um mechanical engineering degree and Garland an opportunity to come to Cincinnati as um deviation engineer where got the tools to then Start learning about how to make jet engines. And along the way I was able to be fine designer, which is I am today, but uh, the course of the last 10 years I've become, um, learn to be an individual contributor that later build up experiences and belonging projects. And up to now I'm a team leader for fan rotating design, for advanced concepts and where I had the opportunity to lead design as well as a mentor and inspire others. And there um on the team, so that has been a great experience. Were able to use my passion for aviation and bring it together with, um, strings in maths and sciences to try to. Build things that fly, invent the future of flight. And I come today everyday. Um. Always excited to what? What problems can we solve today?",3.0
"So today we're going to talk about how to make arroz con pollo. Is a dish or even from Puerto Rico where I'm from, which my grandma used to make and my mom made the best and taught me how to do it and I'll do my best to describe how that goes. It's um, it's rice and chicken cooked together on a casserole type part. Uh, where start off by? Making a sofrito, we sees a mixture of vegetables, um, Peppers, onions, garlics, and other spices in mixed with the oil. Umesh, you throwing tomato juice, reduce, bring the chicken, actually Browns. Then you add the rice, and getting the right rice to water ratio is something that I've spent my lifetime trying to get right. Where? You don't want it too mushy not to dry just to make it just they're perfect consistency and for the perfect texture that's just gonna make you want keep coming back for more um, do let reducer water on high heat until it it almost dry, but not too dry. When then you reduce the flame cover, let sit for another 10-15 minutes and to let um. This simmering stage 2. Um, soft and the grain and finish the concoction. He's my favorite dishes, man. Comfort food and it's I always craving it and making it all the time. And I love it.",3.0
"Hi my name is Lt less I am the fan rather team lead for the XL100 and ask what is that so? I have been. At 16 years of experience with the company and where I most of them being in a savanna cider come up together that experience in advanced product designs for this government contract called XA 100, we're trying to bring a new generation of aircraft out there with that cycle technology never seen before. Eh, in production? My responsibilities are to lead a submodule team where all rotating components or fans and shaft that spins and ah life limited and bring it to the standard quality to bring to qualification program for our. Master win.",4.0
"My favorite destination has to be in my home where I'm from, the island of Periko 90 island in middle the Caribbean. That hospital. So beautiful. It has beaches, has son. He has great weather all year round. He has the best food. He has nature, has a tropical rainforests in have heights, have mountains, and has the best people, the best music, the best culture, the best food. Um, I set foot already. It's uh, if you're from United States, you don't need a passport to fly in its domestic. And my even my sister is a third guy there. I can hook you up for the have the perfect visit. And I just love when I'm there and recharge every time I go. Ah, so it's a place that will always be home for me.",
"So today we're going to talk about my workplace. It's not, there's certain things I cannot describe about it working even Dale in a secure area for um, for upcoming new projects for the government where security is paramount. So we have a lot of security measures to get in and work there and key benefit of daddies that we have, everybody in the same place, we have a, uh, good collaboration. The team diol seated together bit all fashion now with but everybody is physically together. We're able to have conversations and interact more about it however it does. The security does slow things down and with new people, new members of a team, we need to do better jobs to make it smoother, experience and go faster, and people to learn more to be able to deliver better and easier.",3.0
"Running the numbers so I'm from the tiny island of pro Rico, 100 miles by 35 miles little square will take me 30 minutes ago from my hometown car W to the Capitals and one. Then I flew all the way to Cincinnati, where I live now, and it was 30 minutes. I'll be driving and still in Cincinnati. It takes me that long to stay there. It's going to use to how long the drives are, very minutes on my commute everyday.",4.0
"Hi I'm here to give a talk on uh my one of the time in my phone when I successfully collaborated by with a coworker here at my workplace. Now in order to say all of that I want to divide the entire speech into four parts. The first part is I will be discussing what the problem was. The 2nd part is I will die. I will be discussing about what was expected from us and the third part is who all were involved. In uh in deciding what needs to be done and the 4th one was what was the outcome that we finally came onto. Now the the problem that we were dealing is um, we were very close off going live with the project and we soon find uh found out towards the end of a testing phase that a certain value which was very important for one of the vendors to make a decision on there and was not included on the file. Um, that was the problem that we are facing now. What was expected that point, the value that should have been sent on the file was expected because it was a mandatory field. Because that that is the value that was used in order to decide whether a worker is qualified for a benefit plan or the worker won't be qualified for a benefit plan. The people who all were involved in making the final decisions where their customers, their vendors, the developers and the project managers. We all went in together in order to make sure that we tackle the problem together to give the perfect product to the customer, ran to the client. The outcome was we all worked very hard. We all collaborated with each other. The functional team, they set up the configuration that was required for us to make that happen and the developers went in and we all made it happen. So that was a good time when we all when I collaborated with appear and then we all made things happen. Thank you.",4.0
"Hi, I'm doing a T I'm doing my teaching video and I've picked up the topic is how to make my favorite food. So before you even, um do do this, I just want to say the food that I will be preparing is a lentil Stew. Um, because that's one of the most easiest recipe that you can go to. It's very nutritious. It's tasty. Basically all your family members will love it. So the first step in order to do anything is plan. Always. Plan now the items that you need to make, whether you have all the produce in hand, whether you have all the utensils and hand, how you will be cooking it, what you will be eating in with, all that thing you need to plan because that decides whether you want to go with this recipe or not. The second step that you want to do is collect the items. In order to make lentils to you need, you need a little. Basically you can go with any little, you need money and you need tomato, you need some spices, basically cumin. Red chili, turmeric and salt and then you need oil and then and then you go to the Step 3 which is basically how you cook lentils. In order to do that you basically will heat your pan, put in the oil splitter, the cumin seeds, then sought here onions, garlic and ginger. Then put in your tomatoes. Once that is done you will need to add some water. Usually I have it proportions of tourists to one. So if I'm taking One Cup of lentil I'll put 2 cups of water and then. Once that is done, I'll add my soul based on what taste I like and then I'll put in my lentil. I'll close the lid and I'll let it simmer and let it cook. In this team. Don't try to rush it. Let it cook slowly because that's where it had all the flavors. And once you're done well. Ah, you have a very good lentil soup which is tasty, delicious. You can share it with your family and enjoy it in your family time. Thank you.",3.0
"Hi my uh this video is about my role here in work day um here and work day. I work as an integration consultant so my role is to integrate work day with other third party systems that is present in clients ecosystem. So say for an example if a client wants to do their HR in work day but they want to stay on their current payroll interface or it might be a different company other than work day because they love their service so much they want to continue with that service. And they want to, but they want to come over to work the HR. Now my job will be to go in there and to create an integration that will supply the data that is needed by that payroll system in order to process payroll correctly on that end. So I design all sort of awesome integrations along with my team so that the lives of my clients is easier and things go as expected. Thank you.",4.0
"Um, so in this video, I'll be talking about my favorite vacation spot. Um, so for me, I come from India, so my favorite vacation spot will be Carol, which is basically S part of India. Um, few of the things that I like about Karela is, first of all, it's near the beach. Um, it's it's so it's a great time for you to relax. Great time for the kids to relax. It has lot of outdoor activities for the kids, for family, for couple. If you guys wanna go date dinners, if there are somebody to take care of the kids, so it's a it's a really family oriented place. On the other hand, it has a great food ambiance you'll get, you'll get a chance to eat a lot of food, meet some great people, different country people over there. So that's where I will recommend you to go because it'll give you a time to relax and cut off from work and get back refreshed.",
"Um, my my company that I work for is work day and that I really loved working over here. A few of the things that that was really important for me to consider working for a company. What's the company culture? Um, the diversity. The way how the entire company encourages the employees who are working over there to move forward, how they cater to their career growth, how they take care of their families and from from the first day itself since the time I've been at work day. My team has been tremendous. They have encouraged me. They have supported me in my growth. At the same time, they have given me a chance to support them to what I can bring to the team and how I can cater to their needs. Um, so overall I just love being here. Um, the entire company. They take care of the diversity, they take care of every employee who are working for them. Feel valued. Overall, I just love my company.",4.0
"Um, So what the topic that I'm trying to share as how much is 75,000 steps in a day equal? And two. So one of the promises that I made to myself is in order to when I was trying to live healthy that I'll do at least one thing. I'll at least walk 5 miles per day and five miles. Although that's a big number, right? If we start running, we think about the number and then we think about. Giving up, it's actually not that much, because, um, for, to your surprise, 75,000 steps is equal into 5 miles. Um. So if you are doing your daily work, if you're running chores around the house, and then if you're running for work, you're basically running that much distance. So I want to encourage all the people who are looking to live a healthier life to just go out and do a few more steps because you are already doing the five mile thing.",4.0
"Hello, my name is Robert Donovan McBride. I go by Donovan. Um, 38 years old and I'll tell you a little bit about how I got started in my career. I was young, probably 20, and I was working at retail, at hardware store and. I have a pretty good knowledge of mechanical things and how they worked my dad, but I didn't know the intricacies of machining and engineering I was really interested in. Making breakthroughs and bicycles and and a lot of things mechanical I could see improving so my buddy told me about machining. Eh signed myself up for a Community College class and from there it kind of blossomed. I'd started understanding machining and and processes. I got a job as a machinist. I advanced my career and went from a machinist to a tech. Um, from a tech to uhhh entry level engineer, entry level engineer, and various companies along the way to where I am. Now, um, I'll back up a little bit. I even taught machining for a little bit then. Most really fun part of my career. But um, yeah. I am eh fancy manufacturing engineer or product order at GE Aviation right now. And we deal with the turbine blades, and it's probably some of the most advanced stuff I've ever done. Pretty challenging, interesting, and rewarding at the same time. Um, that is how I became. To where I am right now in my career. Right. Thank you so much.",3.0
"Hello, my name is darling. I'll be teaching you how to um. Take the steps to learn how to backflip a bicycle. First off, you're going to have to have have access to a foam pit. I would recommend this. I would not recommend doing it without a foam pit. Just 'cause the risk of injury. First thing you're going to want to do is practice jumping into the foam pit. And you have to get comfortable with this first. So normally involves 1/4 pipe, a big box and lots of foam inside that box. So you'll go up and land in the phone. We have to get comfortable with this first in order to be able to successfully start to back flow. Once you get comfortable with that, the next thing you're going to want to do is adjust how your body is in error. And you do this by your head, in your eye movements, whatever, whenever I and. Your neck and your head does. Your body is going to do so. You start to adjust how your pitches in air. Once you become comfortable with that, you can start letting your your rotation slow down. Your body naturally wants to correct you to make you up right, so if you get comfortable with going upside down, so start landing on your back in the phone. Once you've started landing in your back on the phone, the next thing is just commitment and putting your knees when you're on your bike and in the air. When you pull up where your shoulders are. So once you've done that and you've got that, you'll start letting upside down and the next thing is looking and spotting with your eyes. So pull back spot with your eyes and you'll start. Just fill your rotation, come around and you might not get all the way, but the next thing from there is tucking. So coupling your knees to your chest and looking and pulling around and eventually you will get all the way around with a little bit more speed every time. Alright, thanks.",5.0
"Good morning. I am Jonathan McBride. I am a product owner and GE Aerospace wanted product owner does is a mix between technical and administrative. Um, I'm an engineer but I wear many hats. Um, what I do is I make sure that the process is sound and safe and efficient for. Turbine blades to go from a raw casting all the way to a finished good that would fit inside the rotor of it. Of a fighter jet or commercial jet? Um, these operations are varying anywhere from grinding to EDM. Lots of things. But what I do is I make sure the admin side is taken care of and I project manage all the way until the product is leaving the door. Thanks.",4.0
"Hello, let me tell you about. Nova Scotia and why you should go there. First off, you could fly there, um, or drive there. My preference is driving because the scenery is beautiful. It's like meeting on the Pacific Coast, which is as the rocks on the beach and the ocean that has all the bubbles. But it's on the eastern seaboard. It's in Canada, so it's pretty easy to get in. You don't need a passport, but not too hard to get if you have no felonies or convictions. It's really, really picturesque and very, very comfortable as far as. The people they really, they really easygoing, accepting and it's fun. Um. I've been there several times and plan on going back and the reason why I would go back is because it's beautiful and it's cheaper than the West Coast experience.",
"He started saying that my workplace is a fantastic place to work. One thing that I would improve upon would be the communication and the hard boundaries between. Um. What the job roles are so a lot of times, um, there's only several certain part numbers we're working on, but there are multitudes of people working on the same part number, so it makes it hard to um. Makes it hard to accomplish things without being interfered upon with other people and. What I mean by that it if you're working on something without communication, somebody may have already taken care of it. Or if you don't communicate that you've taken care of something, ah, there could be other people could be doing the same work twice. But other than that, that's that's all it really correct about my current workplace. It's pretty nice and safe. Very safe.",3.0
"Um, average person takes 7500 steps today. That's 3750 per leg. Um, really measured and buy a pedometer. And this is really interesting. So if you have 7500 steps in one day, depending on where your gate is, you could get a specific distance like 4 miles, 3 miles. But you would need to know your gate and what that is, is the distance between each step.",5.0
"Hi, my name is Catherine Tyner and today I'm going to tell you about how I got into my current career. So I've been at GE Aviation for about three years now. I started just before COVID, um, so it's been definitely a challenge. But back in high school my dad was a electrical engineer and I always kind of knew based on interactions with him and how I went, how I wanted to grow up and get raised. So I took some engineering classes in high school and from there I decided. I wanted to become a mechanical engineer, so after getting the scholarship to my chosen university, I decided to go to Oklahoma State University to study mechanical engineering. While there, I ended up taking a variety of different classes, and one of the classes that I took was called material Science intro to material science. From there I decided that I had a very, very huge passion for material science, and from there I decided to pursue a higher education in material science. So I decided to go to the University of. Arkansas to pursue material science. Once there I got a masters in material science and I completed all of the processes and steps need to do so, and I got an offer from GE to start the day that I had to defend my my thesis. So from there I decided to join GIS Department of EMS, which is engineering and material science. And then after EMS I decided to go onto materials behavior where I am currently working on creating and designing different parts and seen after those parts are made, how to break them and have them with them.",4.0
"Hi, my name is Kathryn Tanner and I'm going to teach you how to play my favorite board game today, which is called Avalon. Avalon is a King Arthur Twist spin off of the game resistance. In the game you have two different factions warring against each other. You have the minions of Mordred, which is considered the evil faction, and you have the Knights of the Round Table which is considered the good faction. In this game you have three different missions you go on where each mission is composed of different people. Playing the board game, depending on who goes on the mission and what faction there on the missions can potentially fail or succeed. Each team is trying to get three out of the five to either succeed if they're on the good side or fail if they're on the bad side. So at the beginning of each game you choose a certain number to go, people to go on the mission. This number is determined by the game board. For example, in the first round, generally 2 people go on the mission. Whoever is the person to choose who goes on the mission this turn will then pick generally themselves and one other person making up to. After that, the group votes on whether they think these people are trustworthy. If the majority decides that these people are trustworthy, then they get to go on the mission. Once there, they get to either succeed the mission or failed the mission. The good guys always have to succeed the missions where the bad guys can choose to either fail or succeed to. To try to blend in. Once the mission is revealed, whether it passes or fails, it goes to that specific team. From there, people have to deduce who they think is good and who they think is bad until the very end of the game where one team becomes victorious.",6.0
"Hi my name is Catherine Tyner and I am currently a materials engineer at GE Aviation located in even Dale, Ohio. I am part of the Amos Group and Amos stands for advanced military integrated structures. So I do a lot of development work. I decide certain chemicals, how do they react together, how do they work? Once we figure out what that's done, what do we do with it after their I try to apply it to certain applications within our aircrafts. Whether that be stealth, whether that be durability and so on and so forth. And from there I take the data and I put it all together and I create presentations that I then share with our customers. OK.",6.0
"Hi, my name is Katherine Turner, and today I'm going to pitch to you why you should visit Texas. I'm originally from Texas, so yes, well, I might be biased. It is a great place to go, especially in the winter time like it is currently getting. Are you someone that doesn't particularly like the cold? Well then, why not go to Texas? It rarely gets below 70 degrees Fahrenheit. In addition, there's a lot to do. You have a lot of major cities. For example, you have Dallas. You have Houston. You have El Paso. There's many different ways to go, as Texas is such a large state. There's lots of good food. There's lots of good culture. There's everything under the sun that you could want to do in Texas. Do you want to go to a beach? Boom, it's there in Galveston. Do you want to stay someplace closer where you can go indoors? Boom, lots of museums in Dallas. Anyway, you should give Texas a try.",
"Hi, I currently work in the Amos Group at Engine of Engineering in GE Aviation and even Dale, Ohio. Amos stands for advanced military integrated structures. We do a lot right in our group. For example, we have a lot of really good communication and collaboration between all of our team members. In addition, we try to take a lot of breaks and do some fun things outside of the office together as a team. For example, we've gone to happy hours before we've done Axe throwing, we've done escape rooms. We try to collaborate both in the office and outside of the office. That way we can come together as a good team. However, there are still some setbacks as on this team for example, it's really hard for someone new to join the team and get projects right off the bat because a lot of times we have people that decide that they would rather not of course share some information because they worked really hard on it.",6.0
"On average, a person produces about four pounds of trash every day. Just think about it. If you have the standard three meals, breakfast, lunch, and dinner, you're producing trash each time you eat. Let's say you want a pancake for breakfast. Well, then you have a pancake box. You have some of the exits leftover. You make a sandwich for lunch. Eventually you have packaging between the sandwich and the meats. And then for dinner, you want to make ravioli. Boom, more packaging for your ravioli.",5.0
"Hi, in next minute I would like to describe how. Uh, how it ended up in my current car guard carry role. So I joined GE aviation like 10 years ago and I tried different roles, so I've been working on different components on. Different engine lines, CF6 lip catalyst. And uh. So I have some experience with different hardware and after awhile I decided I'd roll which match me the best. It uh, the HPT could voice so when there was an opportunity to join the team. Uhhh, I choose this one and since three years I'm working as CF6 HPT. Called our files design and repair. An engineer. Alright, thanks.",3.0
"Hi so today I will describe how to prepare. Ah my favorite meal spaghetti. So first of all you need to boil the water out, a little bit of salt and added pasta in the same time. I'm usually starting to prepare amid, so I use a pan to cook it a little bit and to add. Uhhh spices and to eat and uh, and you need also to prepare a tomato cells, which might be quite easy, but. Actually it's the most important part of the cooking, so I usually prepare a source and boil it for awhile to reduce, to make it a little bit denser and to reduce amount of water. Water. I had some typical spices to it and I like spices very much, so I usually add it very very. Match. I also add, uh, olive oil and boiled for for awhile. Uh. When the pasta is ready, I removed the water and. Uh, yeah, it's ready and it's ready. When the source is ready I'm adding a mid and boiled together for awhile and so when it's time to eat I. Would a pastor then assaults and the meat I add cheese and leaves of Brasilia on the top, and spaghetti is ready.",3.0
"Hi so currently I'm working as CF6 HPT, Cold air foils, uh design and repair engineer. So I'm working with the new make shops and supporting the. Um manufacturing to produce a parts for the jet engine and also I'm working with the repair shops which are repairing our parts and. Yep, that's all. Thanks.",3.0
"I think the best destination for vacation are the mountains. If. If you love hiking, you can do this all day and see beautiful places. If you are not very keen on hiking, you can try some. Easiest road and just take a walk and I'm sure, uh. You will enjoy it and if you will be tired you can have a seat anywhere. Get, relax and. Also you can spend the time in Mountain Lodge and. Any way of spending time I'm sure will be relaxing and enjoyable. Thanks.",
"Hi uh currently in my workplace there is alot alot of work. We are getting a lot of questions from different suppliers all over the world. And we have a lot of requests from each of them, but the good thing is that the. There's a reorganization right now in the company. There are more people hired. And uh. It will help to reduce the amount of responsibilities and help to reduce a backlog. So. It will be better.",3.0
"Did you know that people when they wake up? And get out from bad and during. All day activities till late evening. They usually take around 7500 steps everyday. It's a lot. Uh, but I think the average in the COVID times was much, much lower.",5.0
"So I was working for a very small company as a program manager and the company was going through some financial difficulties. So I started looking for a job about 8 months ago and I've been through 6 rounds of interviews with work day and I finally got to get started. Add work day in March, but by the time I started working for the team that I'm working for right now, about three other people had left the team. So I have like a variety of different tasks that I need to do. So I believe that if I had joined the team at a better time. Maybe my tasks would have been like, you know, like in line with just doing a couple of things and not a range of different things that I have to do throughout the week. But I have learned about work day a lot during the past six months and I enjoy meeting new people as we go forward with everything that I'm doing. Especially being the admin for all of the workshops that we have. And I could see how people are happy about, you know, like learning new things as they go through the careers that they have chosen. Because being the admin for the learning is usually meeting a lot of people that have just started also. So that's me. Did anybody go completely?",4.0
"So throughout the day I work with Google Sheets a lot. So I'm going to teach you how to use Google Sheets because that's my to go to all the time. So when you're using Google sheet, you can use the filter feature for any word or phrase that you choose. Uh, within the sheet you can make. A lot of different activities and quizzes within the sheet and it's easy to follow each person's answer. There is another good thing about a Google sheet is if you have a breakout activity and you need to have five or six people work on the same thing. They don't have to huddle up over 1 computer, they can just join in from their own computer and. All we have to do is just share the same sheet with one group of people and they can go in and use the Google sheet and make any type of changes that they would like and everybody in that team could follow along and see what's going on. And another thing is. It's got a great help feature so if I ever forget how to do something or if I forget where one of the. Buttons are I can just you know like type it in the help button and then I get the link to what I need to do or I get the direction on how it needs to get done. Key and.",3.0
So my name is Ali Cardone and I um the program manager for the. Professional services. I am mainly the admin for all of the workshops and classes that we have. Also the admin for the boot camp that we have five times a week. I also run a lot of different reports that are due. Quarterly and monthly and biweekly and weekly and I also um. Keeping an eye on the community and a lot of other small things that I do throughout the week. So that's pretty much it and natural. Thank you.,3.0
"Ah, with all of the places that I have visited, Turkey was my favorite spot to visit. It has culture, a lot of museums, it has great scenery if you love to go outdoors, has a lot of awesome beaches, and the food is just awesome. I mean, everywhere you go there is like restaurants and coffee shops. And most of all, but I enjoyed the most, was the fact that people are out all the time. So there isn't, you know, like a time that you go out and, you know, like, you see here, there's nobody out there. It's like people are always out there eating, walking, talking and just full of life everywhere you go. I loved visiting Turkey, so I recommend you going there.",
"So as someone who has recently joined work day, I think one thing that's going really good for me is the fact that I'm learning a lot of things and I'm learning how to work with the different. Tools that I have here in work day. But one thing that is not going good for me is the fact that I think that, um, I had to take over a lot of responsibilities at. The time that I joined work day and now that I know more, I have to go back and fix a lot of things that I have missed before. So that's two things that I wanted to share. Thank you.",3.0
"So on average a person takes a 7500 steps today. 7500 steps is kind of like going around the football field 62 times. So it's a big number, but you know like when you look at it in terms of calories, it's about 450 calories, so. Um like. It seems like a big number. And then you turn it into football fields and it still seems, you know, like big. But when you look at it in terms of calories, you're not burning a lot of calories. So, um. 7500 steps. Ah, maybe, you know, like a lot of people need to double that so we won't have all of the health problems and issues that goes with obesity and today's world. Thank you.",4.0
"Hi. Well, it all goes back to um. When I graduated from college with an accounting degree, I went to work for a couple of medium sized companies here locally. Um, I was hired on as basically um. Accounting finance, but with that, because the company was small, the companies were small were several different hats throughout from anything accounting related financial statements. To payroll. Payroll taxes, basically managing an office as well. Um. And um, all the jobs are good coming out of college. Money was OK. Um really wanted to. Basically, find a place or or be at a place where I could my career could progress. Based on, you know, my accomplishments and achievements and it just wasn't happening there, so I set off. To find a new place and you and you employ, uh, you know, new employer and with the idea that I wanted to. Um. The idea that I wanted to. Um, specializing in an area, right? Instead of doing all the different tasks that I had that I was doing, I wanted I wanted to do? Little bit more.",3.0
"Today you're going to learn. Um. How to play a pickup game of basketball. So before we get started, we talk about the things that are required. First of all, you're going to need a basketball, at least one basketball hoop with the backboard and at least two people to play. Now pick up basketball games can be played half court or a full court. Um, would definitely not recommend playing full court. If you have a team of only four people, two on two or one-on-one, that'll be a lot of running just for a couple of people. So typically one-on-one or two on two, play half Court 3, maybe. Still can do half court. It definitely four and five. You would obviously want to play full court with two goals, one on each side. Um, essentially you establish rules right from the beginning and you can pretty much. Create or, you know established any type of rules that you want. For example, you could set the game to end when the first team gets to 10 points, 12 points, 15 points, whatever that is. You could establish whether or not if there's a 3 point marker on the court, you could establish whether or not 3 point shots, or going to count towards two points um. Or if you're just going to have all shots count as one points. Typically in a game we pick up basketball, each bucket is worth one point. Um. But like I said, if you have the luxury of having a 3.9 painted on the court, you might be able to use that and and those would count for two. So essentially, you pick teams. There's a couple of different ways of picking teams, especially you get two people. If it's a 2 on 2, you get 2 on one side to another on the other side. You stab lish. What the? What your? You know what the when the game ends by establishing what points you're getting too, and then you basic normal rules of basketball. No double dribble, no fouls. I'm traveling. If you shoot the ball, if you're playing half court, you shoot the ball. There's typically a rule where you have to take it back behind the certain. You have to take the ball back a certain distance to be able to shoot again. If you're on the opposing team, get grabbing a rebound. Um. At the end of the day, it's your following basic basketball rules, except for the fact that there's no referee. You're calling your own shots and you calling your own faults files during during that time. Alright, thanks.",5.0
"Hi my name is Uvero. I am a senior consultant senior consultant for Work day. I specialize in payroll absence and time tracking. I am office out of my Home Office in Houston. Currently my job is basically to help customers implement. Work day payroll as part of work the project implementation I um responsible for gathering requirements and configuration of work day so that the system the payroll processing meets the needs of the customers all the way from. Creating calculations and eligibility. So in a sense, touchpoints with all other functional areas for the most part. And um. Um, also supporting that the customer through testing and all, as well as obviously the final. Go live and. Production support.",4.0
